estimate,actual
0.5,0.5
2,2
0.5,0.5
1.5,3
2,2
1.5,3
1,1
0.25,0.25
1,1
4,4.17
1,1
2,2
1,1
0.5,0.5
2,3
1,1
1,1
2,3
1,2
1,1
2,2
1,1
0.5,0.5
0.5,0.5
