estimate,actual
0.5,0.75
1,0.5
1,1
1.5,2
3.5,3.5
1,1
1.5,2
1,1
0.5,0.5
1.5,1.5
4,3
2,2
2,3
1.5,1.5
2,1
2,2
2,1.5
2,2
1,1
0.5,0.5
0.5,0.5
