estimate,actual
0.5,1
1,0.5
3.5,3.5
2,2
2,3
2,2
2,1
2,1.5
3,4
2,1.5
1,1
0.5,0.5
1,1
2,2.5
1,1.5
0.5,0.5
0.5,0.5
