estimate,actual
1.5,1.5
1,1
1,1
1,1
0.5,0.5
2.75,2.75
1,1
1,1
1,1
1.75,1.75
0.5,0.5
1,1.5
1.5,2
2.75,2.75
2,3
1.75,1.75
1,1
2,4
2,4
2,2.67
0.5,3
3.5,3.5
2,2
2,2
1,1
1,1
0.5,0.5
1,1
0.5,0.5
1,1
0.5,0.5
1.5,1.5
